feature_set,model,scenario,repeat,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,kappa,mcc
A3_S1_S2_temporal,HistGradientBoosting,random_40,9,0.7155467483336336,0.30425567348848115,0.4653971493852432,0.30425567348848115,0.328682503447608,0.6927088912457204,0.6044582573973168,0.6075188210721918
A3_S1_S2_temporal,HistGradientBoosting,random_40,10,0.7106827598630877,0.3052832197237019,0.41974252639208665,0.3052832197237019,0.32716209335697005,0.688021800441305,0.5974413708830495,0.6010765652650157
A3_S1_S2_temporal,HistGradientBoosting,random_40,11,0.7114033507476131,0.30331837864017125,0.4197994484023134,0.30331837864017125,0.32431662567377495,0.6880771665391231,0.5981495370340454,0.6014989349208388
A3_S1_S2_temporal,HistGradientBoosting,random_40,12,0.7139254188434516,0.30333387887709307,0.4119265740189442,0.30333387887709307,0.32469396107507387,0.6913796414427067,0.6016454618092262,0.6051630319673785
A3_S1_S2_temporal,HistGradientBoosting,random_40,13,0.7166276346604216,0.2982845445418134,0.40366344626920364,0.2982845445418134,0.3156489617868807,0.6921556442000504,0.605194836786609,0.608942092442483
A3_S1_S2_temporal,HistGradientBoosting,random_40,14,0.7175283732660782,0.30740069837967887,0.45103581663882364,0.30740069837967887,0.33184661880072536,0.6938509226420574,0.6070546056606467,0.6105623236979145
A3_S1_S2_temporal,HistGradientBoosting,random_60,0,0.6872635561160151,0.2448883488911025,0.4457523766367425,0.2448883488911025,0.258431385183833,0.6551189992127595,0.5568417283609289,0.5653467366492969
A3_S1_S2_temporal,HistGradientBoosting,random_60,1,0.6883444424428031,0.25073562200095534,0.4221922729647366,0.25073562200095534,0.26752642546713196,0.6579159924173994,0.5595579798014265,0.5672028039020072
A3_S1_S2_temporal,HistGradientBoosting,random_60,2,0.6896054764907223,0.2457002115152171,0.40182238229744566,0.2457002115152171,0.257614377071686,0.6587513155612038,0.5614748688453387,0.5687947170265766
A3_S1_S2_temporal,HistGradientBoosting,random_60,3,0.6854620789047019,0.2478324776387805,0.444415580883665,0.2478324776387805,0.26324492879867095,0.6549226352618471,0.5552344803062095,0.5628625272194846
A3_S1_S2_temporal,HistGradientBoosting,random_60,4,0.6874437038371465,0.2421796901594061,0.3460432200790613,0.2421796901594061,0.25014168964236005,0.6569235839993016,0.5591636610775739,0.5661724525810041
A3_S1_S2_temporal,HistGradientBoosting,random_60,5,0.6881642947216717,0.24455208308739293,0.35967365092004544,0.24455208308739293,0.2565662862259154,0.6574866411135687,0.5589927530242088,0.566677303139593
A3_S1_S2_temporal,HistGradientBoosting,random_60,6,0.6887047378850657,0.24957759871408552,0.36552969540177904,0.24957759871408552,0.26215002246806063,0.6588310702352179,0.5607282563044981,0.5680535041631524
A3_S1_S2_temporal,HistGradientBoosting,random_60,7,0.6843811925779139,0.24216262438743422,0.35652215891491895,0.24216262438743422,0.2540507125262353,0.652964307966833,0.5536506498450685,0.5611608601181011
A3_S1_S2_temporal,HistGradientBoosting,random_60,8,0.6887047378850657,0.24951656166052238,0.3769058098539771,0.24951656166052238,0.26361296637014464,0.6590359445961441,0.5605458047230342,0.568086574455456
A3_S1_S2_temporal,HistGradientBoosting,random_60,9,0.6878039992794092,0.24168509825898338,0.30829229605044195,0.24168509825898338,0.2492394942577812,0.6569017455059152,0.5591028247507286,0.5664391886913197
A3_S1_S2_temporal,HistGradientBoosting,random_60,10,0.6834804539722572,0.24089319904535184,0.32143570655277354,0.24089319904535184,0.2483490051709979,0.6524704790025778,0.552854080506747,0.5606216030484381
A3_S1_S2_temporal,HistGradientBoosting,random_60,11,0.691046658259773,0.24835151781262463,0.39153126144879474,0.24835151781262463,0.26163567736100163,0.6613618607474927,0.5634674167351159,0.5711256280259984
A3_S1_S2_temporal,HistGradientBoosting,random_60,12,0.6845613402990453,0.2516072864410733,0.4384107931076464,0.2516072864410733,0.2671539601957862,0.6543865028467653,0.5541939080634535,0.561743741362187
A3_S1_S2_temporal,HistGradientBoosting,random_60,13,0.6903260673752477,0.2533057235389285,0.36379010171384674,0.2533057235389285,0.2681512950924971,0.6606659901559266,0.5624097159281326,0.5703673792024218
A3_S1_S2_temporal,HistGradientBoosting,random_60,14,0.6867231129526211,0.246142609579025,0.45601648225436675,0.246142609579025,0.25743086439387136,0.6572285410097531,0.558130516251191,0.5652508679956361
A3_S1_S2_temporal,HistGradientBoosting,contiguous_20d,0,0.7319401909565844,0.37107898467706596,0.44472584946237076,0.37107898467706596,0.38841562274035063,0.7156483085457077,0.631841210693669,0.6331993435323551
A3_S1_S2_temporal,HistGradientBoosting,contiguous_20d,1,0.7288776796973518,0.36114825298465303,0.4363240994371831,0.36114825298465303,0.3750303314437385,0.7114644645575298,0.6277657842273038,0.6291029516465094
A3_S1_S2_temporal,HistGradientBoosting,contiguous_20d,2,0.7321203386777158,0.36910624164951233,0.45174036033575515,0.36910624164951233,0.38686580671725035,0.7150116524061897,0.6316855227888736,0.6331804577281512
A3_S1_S2_temporal,HistGradientBoosting,contiguous_20d,3,0.7288776796973518,0.36518979784476346,0.43486177242267604,0.36518979784476346,0.37954840147367047,0.7117236220029468,0.6276439414874176,0.6290327350010618
A3_S1_S2_temporal,HistGradientBoosting,contiguous_20d,4,0.7285173842550892,0.35697218786272333,0.4227451280587025,0.35697218786272333,0.3694955841388727,0.7104282123166239,0.6269433515468481,0.6283883310029664
A3_S1_S2_temporal,HistGradientBoosting,contiguous_20d,5,0.7292379751396145,0.35990425263875836,0.4195392377347643,0.35990425263875836,0.3732090576034723,0.7122601111229991,0.6283741531502475,0.6297229194606164
A3_S1_S2_temporal,HistGradientBoosting,contiguous_20d,6,0.7283372365339579,0.3569599384697163,0.4258226301909254,0.3569599384697163,0.37024278463596627,0.7114136915837223,0.6269808587965551,0.6283262913284722
A3_S1_S2_temporal,HistGradientBoosting,contiguous_20d,7,0.7281570888128265,0.3582113436812339,0.41771950575979216,0.3582113436812339,0.37124108826791147,0.7118420162821055,0.6270050552383881,0.628375504699715
A3_S1_S2_temporal,HistGradientBoosting,contiguous_20d,8,0.7267159070437759,0.3567882347386986,0.4277421661848591,0.3567882347386986,0.36982093563569307,0.709874401339805,0.6246547468931344,0.626059499160578
A3_S1_S2_temporal,HistGradientBoosting,contiguous_20d,9,0.7283372365339579,0.36144885027384166,0.4370428722935059,0.36144885027384166,0.37729612035594834,0.7117104980950079,0.6271687782866696,0.6285488712214935
A3_S1_S2_temporal,HistGradientBoosting,contiguous_20d,10,0.7306791569086651,0.3646349526014031,0.4352382363466393,0.3646349526014031,0.3804225405655165,0.7137425256064153,0.6299312375147008,0.6313426674356473
A3_S1_S2_temporal,HistGradientBoosting,contiguous_20d,11,0.7286975319762204,0.36298586259847354,0.43151100693837674,0.36298586259847354,0.37831670333760226,0.7122926168116562,0.6276981046098191,0.6289181384576179
