fold,feature,importance_mean,importance_std
1,B3__p01,-0.0009337804270064254,0.0009337804270064254
1,B3__p02,-8.745768238055396e-05,0.000142742368222315
1,B3__p03,0.0009753707415581792,0.0
1,B3__p04,2.7642342920880525e-05,2.7642342920880525e-05
1,B3__p05,0.001027592631870411,0.0
1,B3__p06,0.0,0.0
1,B3__p07,0.0005144196412851798,0.0005144196412851798
1,B3__p08,-0.0009337804270064254,0.0009337804270064254
1,B3__p09,0.0,0.0
1,B3__p10,-0.006124410875883918,0.007099781617442097
1,B3__p11,-0.0009370519408180567,2.9115529659506922e-05
1,B3__p12,-0.0010126343456407783,0.00010469793448222853
1,B3__p13,0.0035340084272634797,0.0009932908778924054
1,B3__p14,-0.00042632586265839434,0.0004816105485001554
1,B3__p15,0.0009753707415581792,0.0
1,B3__p16,2.7642342920880525e-05,2.7642342920880525e-05
1,B3__p17,0.0,0.0
1,B3__p18,-0.0004830837352387818,0.0004830837352387818
1,B3__p19,0.0,0.0
1,B3__p20,-0.005803311449034565,0.000339755548762255
1,B4__p00,-0.00045544139231790126,0.0005107260781596623
1,B4__p01,0.0,0.0
1,B4__p02,5.528468584176105e-05,0.0
1,B4__p03,0.000854195893977866,0.00012117484758031316
1,B4__p04,0.0,0.0
1,B4__p05,-0.0028440017171424414,0.0028992864029842025
1,B4__p06,0.0,0.0
