feature_set,model,fold,validation_mode,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,kappa,mcc
A0_S2_static,XGBoost,3,spatial_grid_stratified_group,0.6028776978417266,0.21618919290859745,0.2533191432223799,0.21618919290859745,0.21907704894460187,0.5713804067637044,0.4369868140092896,0.44489097861227295
A0_S2_static,XGBoost,OOF,spatial_grid_stratified_group,0.6301567285173842,0.2210422138546971,0.28438231147111015,0.2210422138546971,0.22506828263980752,0.5987291587291114,0.47804875971003913,0.48273492573588306
A0_S2_static,LightGBM,0,spatial_grid_stratified_group,0.6356421356421357,0.23124342356037714,0.29552298054579507,0.23124342356037714,0.23434611469310307,0.6066986052629413,0.49026490669094214,0.49322017684536673
A0_S2_static,LightGBM,1,spatial_grid_stratified_group,0.6221098265895953,0.21992428958849697,0.23853521990708562,0.21992428958849697,0.22166080101169283,0.5966231694681099,0.47184900131484664,0.4741925997181273
A0_S2_static,LightGBM,2,spatial_grid_stratified_group,0.6182602444284687,0.22558586482625145,0.2666274928294159,0.22558586482625145,0.23389253692589212,0.5951056659535375,0.46791057463447805,0.4694297673812481
A0_S2_static,LightGBM,3,spatial_grid_stratified_group,0.6014388489208633,0.2326036643626922,0.26849358798217166,0.2326036643626922,0.2398429990936282,0.5777016513773334,0.4422708382523144,0.44608018782700537
A0_S2_static,LightGBM,OOF,spatial_grid_stratified_group,0.6193478652495046,0.2276197863881141,0.2958516771404488,0.2276197863881141,0.23543054986599488,0.5946745214258183,0.4680773524895566,0.4704060604469615
A0_S2_static,CatBoost,0,spatial_grid_stratified_group,0.5995670995670995,0.2765831851643247,0.24012880418312202,0.2765831851643247,0.2509279115903041,0.6083157741616645,0.473403173833841,0.4749458148730201
A0_S2_static,CatBoost,1,spatial_grid_stratified_group,0.5845375722543352,0.2880645621344747,0.24685901821568695,0.2880645621344747,0.2546680037636842,0.6002261802201156,0.4586354047547294,0.461386491690442
A0_S2_static,CatBoost,2,spatial_grid_stratified_group,0.5722501797268152,0.3111216726010514,0.26650681017212857,0.3111216726010514,0.27858198550510277,0.5884372028748911,0.4465034845780421,0.44977437745210963
A0_S2_static,CatBoost,3,spatial_grid_stratified_group,0.5532374100719425,0.2767812080526267,0.24760435024880564,0.2767812080526267,0.25247524501591306,0.556165481683058,0.40673941386659596,0.40836911554366473
A0_S2_static,CatBoost,OOF,spatial_grid_stratified_group,0.5773734462259053,0.28820009392232665,0.24909205787376074,0.28820009392232665,0.2597970437630281,0.5886936110652955,0.44641257263827305,0.4481679620052815
