feature_set,model,test_season,mask_fraction,repeat,macro_f1,balanced_accuracy
S2_only,SVM_RBF,wheat_2023_24,0.4,4,0.41081585081585076,0.4726190476190476
S2_only,SVM_RBF,wheat_2023_24,0.4,5,0.25498423145481974,0.30357142857142855
S2_only,SVM_RBF,wheat_2023_24,0.4,6,0.2848484848484848,0.31785714285714284
S2_only,SVM_RBF,wheat_2023_24,0.4,7,0.371941391941392,0.40595238095238095
S2_only,SVM_RBF,wheat_2023_24,0.4,8,0.26719457013574666,0.32857142857142857
S2_only,SVM_RBF,wheat_2023_24,0.4,9,0.33474407944996176,0.35952380952380947
S2_only,SVM_RBF,wheat_2023_24,0.4,10,0.43004662004662003,0.4619047619047619
S2_only,SVM_RBF,wheat_2023_24,0.4,11,0.34318181818181814,0.3976190476190476
S2_only,SVM_RBF,wheat_2023_24,0.4,12,0.3985026737967915,0.4119047619047619
S2_only,SVM_RBF,wheat_2023_24,0.4,13,0.33042986425339366,0.3559523809523809
S2_only,SVM_RBF,wheat_2023_24,0.4,14,0.36719457013574663,0.3952380952380952
S2_only,SVM_RBF,wheat_2023_24,0.4,15,0.35745098039215684,0.3952380952380952
S2_only,SVM_RBF,wheat_2023_24,0.4,16,0.3654298642533937,0.4083333333333333
S2_only,SVM_RBF,wheat_2023_24,0.4,17,0.3362770562770563,0.39166666666666666
S2_only,SVM_RBF,wheat_2023_24,0.4,18,0.31555555555555553,0.3559523809523809
S2_only,SVM_RBF,wheat_2023_24,0.4,19,0.3857534622240505,0.3952380952380952
S2_only,SVM_RBF,wheat_2023_24,0.4,20,0.34117216117216115,0.38095238095238093
S2_only,SVM_RBF,wheat_2023_24,0.4,21,0.33042986425339366,0.3559523809523809
S2_only,SVM_RBF,wheat_2023_24,0.4,22,0.4059873949579832,0.42023809523809524
S2_only,SVM_RBF,wheat_2023_24,0.4,23,0.46081585081585086,0.48690476190476184
S2_only,SVM_RBF,wheat_2023_24,0.4,24,0.3185026737967914,0.34523809523809523
S2_only,SVM_RBF,wheat_2024_25,0.4,0,0.43034965034965034,0.5069444444444444
S2_only,SVM_RBF,wheat_2024_25,0.4,1,0.38195891065456283,0.4444444444444444
S2_only,SVM_RBF,wheat_2024_25,0.4,2,0.45913043478260873,0.5347222222222222
S2_only,SVM_RBF,wheat_2024_25,0.4,3,0.3940909090909091,0.44791666666666663
S2_only,SVM_RBF,wheat_2024_25,0.4,4,0.27695238095238095,0.35416666666666663
S2_only,SVM_RBF,wheat_2024_25,0.4,5,0.3367287784679089,0.38541666666666663
S2_only,SVM_RBF,wheat_2024_25,0.4,6,0.22564102564102564,0.29166666666666663
S2_only,SVM_RBF,wheat_2024_25,0.4,7,0.3283325370281892,0.4131944444444444
S2_only,SVM_RBF,wheat_2024_25,0.4,8,0.33379837553750596,0.38541666666666663
S2_only,SVM_RBF,wheat_2024_25,0.4,9,0.37757575757575756,0.4513888888888889
S2_only,SVM_RBF,wheat_2024_25,0.4,10,0.2642857142857143,0.35416666666666663
S2_only,SVM_RBF,wheat_2024_25,0.4,11,0.2666666666666667,0.3506944444444444
S2_only,SVM_RBF,wheat_2024_25,0.4,12,0.27577639751552796,0.35416666666666663
S2_only,SVM_RBF,wheat_2024_25,0.4,13,0.27564102564102566,0.3506944444444444
S2_only,SVM_RBF,wheat_2024_25,0.4,14,0.3576811594202899,0.41666666666666663
S2_only,SVM_RBF,wheat_2024_25,0.4,15,0.4493581780538302,0.5069444444444444
S2_only,SVM_RBF,wheat_2024_25,0.4,16,0.4152380952380952,0.47916666666666663
S2_only,SVM_RBF,wheat_2024_25,0.4,17,0.3746666666666667,0.4409722222222222
S2_only,SVM_RBF,wheat_2024_25,0.4,18,0.355776397515528,0.41666666666666663
S2_only,SVM_RBF,wheat_2024_25,0.4,19,0.253798375537506,0.32291666666666663
S2_only,SVM_RBF,wheat_2024_25,0.4,20,0.33766233766233766,0.41666666666666663
S2_only,SVM_RBF,wheat_2024_25,0.4,21,0.33952380952380956,0.4131944444444444
S2_only,SVM_RBF,wheat_2024_25,0.4,22,0.31933747412008284,0.3576388888888889
S2_only,SVM_RBF,wheat_2024_25,0.4,23,0.3140909090909091,0.38541666666666663
S2_only,SVM_RBF,wheat_2024_25,0.4,24,0.30628571428571433,0.3819444444444444
S2_only,SVM_RBF,wheat_2023_24,0.6,0,0.37476190476190474,0.3952380952380952
S2_only,SVM_RBF,wheat_2023_24,0.6,1,0.26093093093093095,0.3202380952380952
